Financial Growth,,,,,,,,,,,,,,,,,
Company,ALAB (NASDAQ),,,,,,,,,,,,,,,,
Currency,USD,,,,,,,,,,,,,,,,
Period,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1
Five YRevenue Growth Per Share,3.1096550346254825,1.6798135325053254,1.036820171577157,0.8528814322469719,1.2230239130685165,0.4813797383567602,0.06651321585488425,-0.2091756147458472,-0.034885091025079515,-0.44394217771310646,-0.6418485528083865,-0.8691508811071874,-0.6919055303690457,0,0,0,0
Three YRevenue Growth Per Share,12.338944511234374,1.6798135325053254,1.036820171577157,0.8528814322469719,1.2230239130685165,0.4813797383567602,0.06651321585488425,-0.2091756147458472,-0.034885091025079515,-0.44394217771310646,-0.6418485528083865,-0.8691508811071874,-0.6919055303690457,0,0,0,0
Ten YOperating CFGrowth Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Five YOperating CFGrowth Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three YOperating CFGrowth Per Share,15.925490152267706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ten YNet Income Growth Per Share,3.8848055265592296,1.4512141428957026,4.480888222212616,1.387058468763012,2.195718420818031,1.2627949659760405,0.69030421615719,0.9392169651058904,-2.7068572007067204,1.1597138943956542,0.8689652625500395,0.8083006667177882,0.1794769030904288,0,0,0,0
Five YNet Income Growth Per Share,3.8848055265592296,1.4512141428957026,4.480888222212616,1.387058468763012,2.195718420818031,1.2627949659760405,0.69030421615719,0.9392169651058904,-2.7068572007067204,1.1597138943956542,0.8689652625500395,0.8083006667177882,0.1794769030904288,0,0,0,0
Three YNet Income Growth Per Share,4.51581270219522,1.4512141428957026,4.480888222212616,1.387058468763012,2.195718420818031,1.2627949659760405,0.69030421615719,0.9392169651058904,-2.7068572007067204,1.1597138943956542,0.8689652625500395,0.8083006667177882,0.1794769030904288,0,0,0,0
Ten YShareholders Equity Growth Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Five YShareholders Equity Growth Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three YShareholders Equity Growth Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ten YDividendper Share Growth Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Five YDividendper Share Growth Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three YDividendper Share Growth Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receivables Growth,0.6201173048724791,0.9395309804652897,0.7640430956493133,-0.65149474046261,0.7978923501069285,0.5288347908295911,0.14181621913372014,0.32678880467864174,1.0104379124175165,0,0,0,0,0,0,0,0
Asset Growth,0.08316365533093575,0.0932362819391057,0.10207369013021028,0.13346866435944205,0.06371312498340459,0.07267372961096163,0.07378360813312726,0.05851999246156497,3.4061958714568092,0,0,0,0,0,0,0,0
Inventory Growth,0.01995625561640584,0.14161004974546582,-0.11840892802293437,0.14777601504201188,0.18146476917736898,0.7700184312922383,-0.14549209015819684,-0.03365238272398282,0.22710105831085287,0,0,0,0,0,0,0,0
Book Valueper Share Growth,0.08772850119760657,0.059177850230686495,0.10633450449814087,0.07566991139113563,0.0577401217262979,0.0637344891682391,0.04152915732389889,0.036012655801380467,9.20562387091001,0,0,0,0,0,0,0,0
Debt Growth,-1,-0.39612040823339406,0.8015848449204482,0,-1,0,-1,-0.08572653236176597,0.08209647495361781,0,0,0,0,0,0,0,0
Rdexpense Growth,0.33949590583418626,0.18832353537401175,0.18290270367483963,0.033615267837779225,0.1420635482273017,0.11577409739631654,0.26366334904836736,-0.25148437208260205,1.7250432481937519,-0.047124987879375545,0.15487122060470324,0.1698434531997118,-0.4501350621285791,0.9497893258426966,-0.36516428157460656,1.4184366576819407,0
Sgaexpenses Growth,0.09031446540880503,0.05417329668740055,0.0617688467938052,-0.10343798769852199,-0.0880703223105902,0.03612785704991976,0.04538447587957925,-0.448110197800548,6.721862621968892,0.09464890016920474,0.154296875,0.034604698156100025,-0.09092996555683124,-0.03820671378091873,-0.5822492849893902,2.78986013986014,0
