Key Metrics,,,,,,,,,,,,,,,,,
Company,ALAB (NASDAQ),,,,,,,,,,,,,,,,
Currency,USD,,,,,,,,,,,,,,,,
Period,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1
Return On Tangible Assets,0.0511043659202413,0.029365011492842187,0.06502652760312365,0.040285353604870205,0.028366916467414464,0.023435573746239953,-0.007723802596979854,-0.008242355395597013,-0.10752097638920524,0.07297801234894953,0,0,0,0,0,0,0
Graham Net Net,6.738181354919579,6.5633344149140145,6.348586922764519,5.905496651111058,5.652511734500043,5.474265924512961,5.257857183847581,5.101145948105335,5.021905934963049,-0.8287132056418562,0,0,0,0,0,0,0
Working Capital,1287892000,1228988000,1189201000,1074365000,998539000,926437000,857549000,827172000,808853000,150728000,0,0,0,0,0,0,0
Tangible Asset Value,1406223000,1363634000,1271731000,1135714000,1041562000,964799000,889612000,845252000,808784000,-97701000,0,0,0,0,0,0,0
Net Current Asset Value,1247669000,1193841000,1160708000,1045057000,995687000,923270000,852136000,820982000,798323000,-108186000,0,0,0,0,0,0,0
Average Receivables,108999500,63050000,33608000,47048000,54294500,32098500,23809500,19495000,12546000,0,0,0,0,0,0,0,0
Average Payables,49090000,34086500,28692000,30543000,28215500,22734500,16573000,13030000,8901000,0,0,0,0,0,0,0,0
Average Inventory,59567500,55321000,55132500,54829500,47136000,33815000,26493500,29069500,26831000,0,0,0,0,0,0,0,0
Days Sales Outstanding,39.342621148588826,27.67424413211473,16.744313130217932,11.403516998827667,39.38748886742515,24.756123490389523,20.20356189095025,26.037345478204294,23.11027000521009,14.850338520014255,0,0,0,0,0,0,0
Days Payables Outstanding,68.60994263862334,57.671991286984934,42.41896901192411,61.29092791510289,66.35282655941646,66.10510805500982,66.22991788646912,77.2858319604613,70.01289184421223,49.64139611802594,0,0,0,0,0,0,0
Days Of Inventory On Hand,73.9420923245015,80.29451806135414,84.90531928491865,113.76083861783357,114.78928830156629,106.12721021611002,87.16529810781864,151.2991292068722,180.5557063373592,188.75010879972146,0,0,0,0,0,0,0
Receivables Turnover,2.2875954212630845,3.2521213432369414,5.374959205557369,7.892301998519615,2.2849895382498784,3.635464172528407,4.45466004884582,3.456573561822516,3.8943725010443395,6.060467906418716,0,0,0,0,0,0,0
Payables Turnover,1.3117632304991222,1.5605495491242152,2.12169230173182,1.4684065499002312,1.3563853217226307,1.3614681625677985,1.3589024850412377,1.1645083932853717,1.2854775403401657,1.813002998264163,0,0,0,0,0,0,0
Inventory Turnover,1.217168694727043,1.120873531256888,1.0600042583667229,0.791133408416095,0.7840452827232309,0.8480388753904894,1.0325209911939381,0.5948481030379392,0.498461122197044,0.47682091720273917,0,0,0,0,0,0,0
Roe,0.05375689113677317,0.03298685717721911,0.07164565462350135,0.04509850191157281,0.03054930959462807,0.025614661706738918,-0.008535181629744202,-0.008927515107920479,-0.1149812558111931,-0.14662081247888967,0,0,0,0,0,0,0
Capex Per Share,0.044433771071775825,0.1102563346213976,0.0734190974461884,0.012228885073868994,0.027813522555976324,0.09661340254542043,0.10646492083835467,0.008530982802724244,0.02225529895808282,0.006629377782732143,0.004826134567844567,0.0044077515101339955,0.003365222457302303,0,0,0,0
